Поколение Плотность Живых_клеток
0 0,1 114
1 0,1 58
2 0,1 61
3 0,1 63
4 0,1 63
5 0,1 69
6 0,1 61
7 0,1 62
8 0,1 67
9 0,1 70
10 0,1 80
11 0,1 73
12 0,1 88
13 0,1 86
14 0,1 85
15 0,1 95
16 0,1 103
17 0,1 90
18 0,1 80
19 0,1 77
20 0,1 84
21 0,1 84
22 0,1 98
23 0,1 86
24 0,1 94
25 0,1 89
26 0,1 65
27 0,1 64
28 0,1 69
29 0,1 62
30 0,1 73
31 0,1 69
32 0,1 78
33 0,1 79
34 0,1 78
35 0,1 79
36 0,1 77
37 0,1 77
38 0,1 70
39 0,1 64
40 0,1 67
41 0,1 58
42 0,1 73
43 0,1 66
44 0,1 67
45 0,1 71
46 0,1 65
47 0,1 67
48 0,1 77
49 0,1 69
50 0,1 64
51 0,1 72
52 0,1 66
53 0,1 70
54 0,1 70
55 0,1 50
56 0,1 56
57 0,1 58
58 0,1 60
59 0,1 63
60 0,1 77
61 0,1 71
62 0,1 75
63 0,1 74
64 0,1 86
65 0,1 71
66 0,1 74
67 0,1 67
68 0,1 72
69 0,1 71
70 0,1 69
71 0,1 67
72 0,1 69
73 0,1 59
74 0,1 65
75 0,1 57
76 0,1 53
77 0,1 52
78 0,1 58
79 0,1 51
80 0,1 57
81 0,1 50
82 0,1 53
83 0,1 54
84 0,1 65
85 0,1 65
86 0,1 73
87 0,1 62
88 0,1 65
89 0,1 67
90 0,1 72
91 0,1 80
92 0,1 91
93 0,1 85
94 0,1 80
95 0,1 81
96 0,1 89
97 0,1 79
98 0,1 65
99 0,1 68
100 0,1 71
101 0,1 66
102 0,1 61
103 0,1 67
104 0,1 70
105 0,1 81
106 0,1 72
107 0,1 84
108 0,1 77
109 0,1 95
110 0,1 79
111 0,1 96
112 0,1 88
113 0,1 98
114 0,1 92
115 0,1 98
116 0,1 88
117 0,1 93
118 0,1 99
119 0,1 95
120 0,1 104
121 0,1 93
122 0,1 81
123 0,1 92
124 0,1 87
125 0,1 83
126 0,1 83
127 0,1 73
128 0,1 81
129 0,1 81
130 0,1 85
131 0,1 77
132 0,1 90
133 0,1 90
134 0,1 90
135 0,1 94
136 0,1 101
137 0,1 113
138 0,1 108
139 0,1 120
140 0,1 127
141 0,1 116
142 0,1 107
143 0,1 108
144 0,1 94
145 0,1 99
146 0,1 103
147 0,1 94
148 0,1 103
149 0,1 82
150 0,1 92
151 0,1 88
152 0,1 97
153 0,1 91
154 0,1 97
155 0,1 99
156 0,1 107
157 0,1 108
158 0,1 95
159 0,1 103
160 0,1 102
161 0,1 100
162 0,1 97
163 0,1 108
164 0,1 101
165 0,1 95
166 0,1 103
167 0,1 95
168 0,1 80
169 0,1 81
170 0,1 62
171 0,1 64
172 0,1 70
173 0,1 73
174 0,1 68
175 0,1 65
176 0,1 69
177 0,1 70
178 0,1 78
179 0,1 80
180 0,1 89
181 0,1 83
182 0,1 99
183 0,1 84
184 0,1 89
